year,contract_id,C-Adult BMI Assessment,C-Annual Flu Vaccine,C-Breast Cancer Screening,C-Call Center - Foreign Language Interpreter and TTY Availability,C-Care Coordination,C-Care for Older Adults - Functional Status Assessment,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Pain Assessment,C-Colorectal Cancer Screening,C-Complaints about the Health Plan,C-Customer Service,C-Diabetes Care - Blood Sugar Controlled,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Getting Appointments and Care Quickly,C-Getting Needed Care,C-Health Plan Quality Improvement,C-Improving Bladder Control,C-Improving or Maintaining Mental Health,C-Improving or Maintaining Physical Health,C-Medication Reconciliation Post-Discharge,C-Members Choosing to Leave the Plan,C-Monitoring Physical Activity,C-Osteoporosis Management in Women who had a Fracture,C-Plan All-Cause Readmissions,C-Plan Makes Timely Decisions about Appeals,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Reducing the Risk of Falling,C-Reviewing Appeals Decisions,C-Rheumatoid Arthritis Management,C-Special Needs Plan (SNP) Care Management,C-Statin Therapy for Patients with Cardiovascular Disease,D-Appeals Auto-Forward,D-Appeals Upheld,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Complaints about the Drug Plan,D-Drug Plan Quality Improvement,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-MTM Program Completion Rate for CMR,D-Medication Adherence for Cholesterol (Statins),D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Members Choosing to Leave the Plan,D-Rating of Drug Plan,D-Statin Use in Persons with Diabetes (SUPD),Financial Reasons for Disenrollment,Problems Getting Information and Help from the Plan,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Problems with Prescription Drug Benefits and Coverage
2021,H3817,98.0,80.0,81.0,98.0,86.0,,,,83.0,0.02,92.0,87.0,84.0,92.0,82.0,84.0,,47.0,85.0,74.0,72.0,3.0,54.0,52.0,,98.0,87.0,85.0,54.0,97.0,82.0,,83.0,2.5,94.0,100.0,0.02,,91.0,99.0,77.0,88.0,88.0,88.0,3.0,82.0,81.0,32.0,7.0,16.0,25.0,12.0
2021,H3822,95.0,77.0,78.0,94.0,86.0,,,,75.0,0.17,87.0,75.0,73.0,97.0,76.0,81.0,,40.0,82.0,67.0,54.0,19.0,53.0,36.0,,91.0,86.0,84.0,50.0,79.0,78.0,,81.0,1.0,100.0,95.0,0.17,,89.0,99.0,92.0,83.0,83.0,85.0,19.0,86.0,83.0,28.0,15.0,21.0,24.0,7.0
2021,H3832,92.0,79.0,81.0,95.0,85.0,99.0,94.0,99.0,81.0,0.02,90.0,81.0,86.0,97.0,75.0,82.0,,45.0,86.0,66.0,53.0,2.0,52.0,47.0,,98.0,85.0,86.0,60.0,95.0,71.0,86.0,81.0,0.9,,90.0,0.02,,89.0,99.0,73.0,86.0,86.0,86.0,2.0,83.0,84.0,44.0,12.0,14.0,4.0,8.0
2021,H3864,98.0,81.0,74.0,89.0,87.0,,,,81.0,0.05,93.0,82.0,76.0,98.0,81.0,83.0,,45.0,86.0,66.0,72.0,5.0,50.0,,,100.0,86.0,86.0,52.0,96.0,80.0,,81.0,5.2,82.0,92.0,0.05,,91.0,99.0,86.0,87.0,85.0,87.0,5.0,85.0,79.0,21.0,6.0,10.0,10.0,6.0
2021,H3890,94.0,78.0,75.0,92.0,86.0,,,,70.0,0.25,90.0,80.0,67.0,92.0,75.0,81.0,,46.0,85.0,70.0,62.0,10.0,54.0,10.0,,88.0,87.0,82.0,52.0,75.0,76.0,,80.0,0.0,100.0,94.0,0.25,,87.0,98.0,80.0,84.0,86.0,86.0,10.0,81.0,80.0,44.0,15.0,26.0,23.0,8.0
2021,H3907,98.0,77.0,78.0,100.0,88.0,,,,76.0,0.05,93.0,86.0,81.0,96.0,82.0,86.0,,46.0,78.0,65.0,71.0,4.0,43.0,35.0,,99.0,87.0,87.0,54.0,99.0,77.0,,78.0,3.0,87.0,100.0,0.05,,93.0,99.0,76.0,89.0,89.0,91.0,4.0,85.0,80.0,35.0,5.0,9.0,22.0,9.0
2021,H3909,94.0,84.0,73.0,91.0,86.0,,,,76.0,0.09,90.0,78.0,78.0,91.0,80.0,85.0,,51.0,88.0,65.0,57.0,3.0,59.0,27.0,,100.0,88.0,87.0,57.0,92.0,72.0,,82.0,2.7,,92.0,0.09,,91.0,96.0,78.0,86.0,86.0,88.0,3.0,83.0,83.0,50.0,12.0,11.0,4.0,9.0
2021,H3916,99.0,79.0,78.0,100.0,88.0,,,,77.0,0.04,90.0,90.0,77.0,96.0,80.0,85.0,,47.0,83.0,70.0,81.0,2.0,51.0,43.0,,98.0,87.0,87.0,53.0,95.0,82.0,,81.0,3.0,86.0,100.0,0.04,,91.0,99.0,82.0,87.0,88.0,88.0,2.0,86.0,81.0,30.0,5.0,8.0,22.0,6.0
2021,H3923,95.0,78.0,73.0,97.0,87.0,,,,77.0,0.04,91.0,78.0,75.0,95.0,79.0,83.0,,44.0,86.0,71.0,55.0,5.0,55.0,26.0,,98.0,87.0,86.0,58.0,88.0,76.0,,80.0,0.8,100.0,94.0,0.04,,92.0,99.0,82.0,86.0,88.0,89.0,5.0,84.0,79.0,52.0,7.0,18.0,7.0,8.0
2021,H3924,97.0,73.0,70.0,88.0,88.0,,,,70.0,0.11,90.0,83.0,63.0,94.0,81.0,84.0,,49.0,87.0,75.0,80.0,16.0,43.0,53.0,,100.0,85.0,86.0,47.0,100.0,82.0,,78.0,6.2,75.0,77.0,0.11,,91.0,99.0,70.0,86.0,85.0,87.0,16.0,83.0,77.0,26.0,7.0,9.0,14.0,7.0
2021,H3928,99.0,69.0,76.0,97.0,86.0,,,,69.0,0.27,93.0,80.0,70.0,94.0,76.0,86.0,,,74.0,72.0,73.0,24.0,49.0,,,,87.0,85.0,54.0,,,,86.0,0.0,,97.0,0.27,,90.0,98.0,66.0,82.0,81.0,84.0,24.0,84.0,83.0,24.0,17.0,21.0,28.0,17.0
2021,H3931,98.0,71.0,73.0,97.0,87.0,,,,70.0,0.2,88.0,87.0,73.0,98.0,75.0,83.0,,46.0,82.0,74.0,73.0,37.0,51.0,52.0,,97.0,86.0,85.0,52.0,98.0,76.0,,81.0,1.8,98.0,97.0,0.2,,90.0,99.0,65.0,85.0,84.0,86.0,37.0,84.0,82.0,24.0,12.0,13.0,12.0,12.0
2021,H3949,99.0,79.0,72.0,98.0,87.0,95.0,94.0,96.0,76.0,0.13,90.0,83.0,83.0,99.0,80.0,83.0,,48.0,79.0,69.0,83.0,7.0,50.0,56.0,,100.0,88.0,87.0,67.0,97.0,77.0,57.0,81.0,8.6,89.0,98.0,0.13,,89.0,99.0,79.0,81.0,82.0,83.0,7.0,86.0,88.0,19.0,14.0,20.0,35.0,
2021,H3952,99.0,80.0,76.0,91.0,87.0,,,,74.0,0.08,91.0,88.0,80.0,95.0,79.0,83.0,,44.0,84.0,65.0,60.0,7.0,52.0,39.0,,99.0,88.0,86.0,58.0,96.0,77.0,,81.0,2.1,82.0,92.0,0.08,,91.0,97.0,75.0,84.0,84.0,86.0,7.0,83.0,82.0,29.0,11.0,8.0,13.0,12.0
2021,H3954,99.0,75.0,76.0,88.0,88.0,74.0,93.0,89.0,73.0,0.06,93.0,85.0,79.0,96.0,79.0,83.0,,41.0,82.0,64.0,87.0,4.0,39.0,37.0,,99.0,87.0,88.0,54.0,96.0,80.0,63.0,81.0,1.5,85.0,77.0,0.06,,92.0,99.0,73.0,86.0,86.0,87.0,4.0,85.0,82.0,26.0,8.0,14.0,26.0,7.0
2021,H3957,99.0,76.0,75.0,100.0,87.0,,,,78.0,0.04,91.0,87.0,80.0,97.0,79.0,84.0,,43.0,84.0,65.0,90.0,4.0,48.0,55.0,,99.0,87.0,86.0,60.0,98.0,77.0,,80.0,2.9,87.0,100.0,0.04,,92.0,99.0,89.0,87.0,87.0,89.0,4.0,85.0,84.0,28.0,5.0,11.0,28.0,5.0
2021,H3959,99.0,74.0,74.0,97.0,87.0,91.0,100.0,97.0,74.0,0.12,93.0,82.0,75.0,97.0,80.0,86.0,,43.0,82.0,69.0,88.0,8.0,48.0,48.0,,97.0,88.0,88.0,54.0,98.0,74.0,68.0,75.0,1.3,97.0,97.0,0.12,,92.0,99.0,70.0,87.0,87.0,88.0,8.0,86.0,82.0,19.0,9.0,13.0,26.0,11.0
2021,H3962,95.0,78.0,74.0,97.0,87.0,,,,69.0,0.09,91.0,76.0,68.0,95.0,81.0,84.0,,48.0,78.0,73.0,63.0,8.0,49.0,30.0,,98.0,87.0,86.0,61.0,95.0,77.0,,80.0,0.0,70.0,94.0,0.09,,91.0,99.0,83.0,84.0,85.0,88.0,8.0,83.0,80.0,30.0,13.0,21.0,22.0,13.0
2021,H3975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H3979,98.0,76.0,71.0,94.0,88.0,,,,74.0,0.61,89.0,76.0,65.0,95.0,80.0,85.0,,45.0,81.0,72.0,56.0,23.0,45.0,,,89.0,88.0,81.0,47.0,91.0,72.0,,75.0,0.0,,95.0,0.61,,88.0,99.0,89.0,83.0,80.0,85.0,23.0,80.0,79.0,18.0,16.0,26.0,20.0,12.0
2021,H4003,97.0,48.0,89.0,94.0,86.0,98.0,98.0,98.0,88.0,0.12,89.0,89.0,87.0,100.0,69.0,80.0,,44.0,83.0,66.0,58.0,12.0,52.0,90.0,,100.0,88.0,93.0,61.0,95.0,87.0,91.0,84.0,0.1,100.0,97.0,0.12,,90.0,100.0,95.0,72.0,83.0,81.0,12.0,91.0,87.0,16.0,12.0,17.0,24.0,
2021,H4004,99.0,37.0,89.0,94.0,85.0,99.0,99.0,99.0,95.0,0.14,90.0,85.0,88.0,100.0,74.0,82.0,,45.0,83.0,67.0,56.0,14.0,45.0,82.0,,100.0,90.0,93.0,66.0,97.0,85.0,90.0,85.0,0.2,,97.0,0.14,,92.0,100.0,95.0,77.0,85.0,84.0,14.0,92.0,87.0,12.0,11.0,11.0,22.0,
2021,H4005,98.0,41.0,73.0,78.0,84.0,,,,84.0,0.3,89.0,81.0,75.0,98.0,68.0,79.0,,52.0,81.0,71.0,40.0,7.0,61.0,43.0,,100.0,88.0,89.0,64.0,69.0,78.0,,75.0,1.7,,80.0,0.3,,90.0,99.0,85.0,70.0,78.0,82.0,7.0,89.0,78.0,48.0,9.0,10.0,7.0,
2021,H4007,99.0,59.0,83.0,95.0,86.0,97.0,97.0,98.0,88.0,0.2,90.0,85.0,82.0,99.0,71.0,81.0,,50.0,84.0,72.0,75.0,26.0,53.0,40.0,,79.0,89.0,95.0,71.0,100.0,76.0,68.0,84.0,0.8,,97.0,0.2,,88.0,99.0,87.0,72.0,83.0,82.0,26.0,92.0,89.0,18.0,17.0,19.0,14.0,
2021,H4036,94.0,82.0,78.0,100.0,87.0,,,,81.0,0.12,91.0,83.0,84.0,95.0,80.0,84.0,,47.0,82.0,73.0,73.0,7.0,54.0,34.0,,98.0,87.0,86.0,50.0,94.0,89.0,,78.0,1.9,,98.0,0.12,,91.0,99.0,80.0,86.0,87.0,88.0,7.0,84.0,80.0,37.0,12.0,16.0,13.0,12.0
2021,H4091,,,,95.0,,98.0,77.0,86.0,,0.03,,17.0,46.0,85.0,,,,,,,,4.0,,,,,,,,,,77.0,,14.5,,95.0,0.03,,,100.0,94.0,85.0,90.0,85.0,4.0,,87.0,,,,,
2021,H4093,,,,87.0,,97.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,87.0,,,,,84.0,84.0,79.0,76.0,,,75.0,,,,,
2021,H4094,,,,98.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,100.0,,73.0,,,,98.0,,,,99.0,86.0,83.0,89.0,88.0,,,81.0,,,,,
2021,H4140,,,,86.0,,,,,,0.14,,,,,,,,,,,,16.0,,,,,,,,,,47.0,,6.4,,94.0,0.14,,,98.0,,69.0,80.0,82.0,16.0,,81.0,11.0,,21.0,28.0,
2021,H4141,99.0,71.0,76.0,100.0,87.0,95.0,95.0,98.0,81.0,0.2,90.0,88.0,75.0,97.0,76.0,85.0,,40.0,79.0,74.0,85.0,14.0,61.0,47.0,,94.0,86.0,88.0,59.0,94.0,78.0,77.0,85.0,3.3,82.0,98.0,0.2,,89.0,99.0,86.0,82.0,82.0,83.0,14.0,87.0,83.0,19.0,15.0,26.0,28.0,12.0
2021,H4152,99.0,83.0,82.0,94.0,85.0,,,,80.0,0.05,91.0,88.0,82.0,94.0,78.0,84.0,,55.0,81.0,65.0,77.0,5.0,52.0,49.0,,98.0,87.0,85.0,57.0,96.0,76.0,,84.0,0.4,100.0,94.0,0.05,,89.0,99.0,91.0,87.0,87.0,90.0,5.0,83.0,86.0,16.0,5.0,10.0,5.0,8.0
2021,H4172,,,,97.0,,100.0,100.0,99.0,,0.0,,,,,,,,,,,,4.0,,,,,,,,,,94.0,,9.5,,92.0,0.0,,,97.0,97.0,90.0,86.0,87.0,4.0,,88.0,,,,,
2021,H4198,100.0,77.0,80.0,83.0,88.0,,,,73.0,0.12,94.0,78.0,64.0,95.0,80.0,83.0,,37.0,77.0,74.0,67.0,29.0,49.0,,,100.0,86.0,89.0,42.0,100.0,75.0,,75.0,0.0,,89.0,0.12,,89.0,99.0,74.0,82.0,83.0,85.0,29.0,84.0,74.0,27.0,6.0,7.0,11.0,6.0
2021,H4213,98.0,75.0,69.0,98.0,85.0,,,,67.0,0.11,90.0,74.0,61.0,88.0,76.0,84.0,,45.0,80.0,67.0,52.0,20.0,43.0,58.0,,,86.0,83.0,51.0,,78.0,,72.0,0.0,,98.0,0.11,,89.0,99.0,69.0,83.0,81.0,83.0,20.0,78.0,75.0,40.0,6.0,9.0,7.0,6.0
2021,H4227,97.0,75.0,75.0,83.0,87.0,81.0,99.0,91.0,67.0,0.26,93.0,80.0,76.0,96.0,77.0,85.0,,50.0,79.0,70.0,84.0,14.0,53.0,,,100.0,85.0,89.0,76.0,90.0,73.0,,82.0,5.2,80.0,89.0,0.26,,89.0,99.0,90.0,77.0,77.0,81.0,14.0,86.0,87.0,11.0,14.0,15.0,36.0,
2021,H4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4236,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,97.0,,,,100.0,85.0,83.0,,79.0,,,,,,,,
2021,H4279,99.0,69.0,72.0,97.0,85.0,83.0,94.0,92.0,70.0,0.06,92.0,81.0,81.0,95.0,80.0,83.0,,44.0,77.0,67.0,64.0,7.0,40.0,31.0,,97.0,87.0,91.0,63.0,98.0,76.0,68.0,79.0,3.1,73.0,100.0,0.06,,92.0,99.0,74.0,87.0,87.0,86.0,7.0,90.0,81.0,5.0,11.0,11.0,18.0,
2021,H4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4346,99.0,70.0,75.0,100.0,79.0,98.0,98.0,99.0,75.0,0.79,88.0,83.0,83.0,97.0,73.0,78.0,,40.0,83.0,73.0,68.0,18.0,57.0,,,100.0,84.0,86.0,56.0,92.0,70.0,75.0,85.0,0.0,,98.0,0.79,,88.0,99.0,81.0,81.0,81.0,82.0,18.0,85.0,85.0,18.0,25.0,34.0,44.0,17.0
2021,H4388,72.0,55.0,61.0,,89.0,,,,51.0,0.27,91.0,62.0,59.0,91.0,83.0,86.0,,45.0,86.0,66.0,52.0,14.0,45.0,,,,83.0,82.0,36.0,,,,,,,,,,,,,,,,,,,19.0,,6.0,2.0,
2021,H4407,100.0,74.0,81.0,98.0,89.0,97.0,96.0,98.0,86.0,0.25,92.0,88.0,79.0,99.0,79.0,86.0,,42.0,77.0,65.0,89.0,20.0,45.0,,,100.0,87.0,87.0,54.0,97.0,78.0,72.0,79.0,9.1,92.0,98.0,0.25,,90.0,99.0,89.0,82.0,82.0,83.0,20.0,87.0,86.0,10.0,11.0,21.0,53.0,10.0
2021,H4461,99.0,77.0,78.0,100.0,89.0,95.0,97.0,97.0,83.0,0.13,92.0,87.0,76.0,98.0,80.0,87.0,,45.0,78.0,69.0,87.0,9.0,52.0,61.0,,89.0,88.0,90.0,58.0,95.0,79.0,78.0,81.0,2.5,85.0,98.0,0.13,,92.0,99.0,89.0,86.0,86.0,87.0,9.0,88.0,82.0,31.0,12.0,14.0,19.0,
2021,H4490,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,91.0,,,,,85.0,72.0,,,,,,,,,,
2021,H4497,96.0,77.0,76.0,97.0,88.0,,,,78.0,0.05,92.0,78.0,76.0,95.0,81.0,86.0,,52.0,81.0,69.0,48.0,8.0,55.0,17.0,,92.0,88.0,87.0,55.0,87.0,83.0,,83.0,2.2,,97.0,0.05,,91.0,99.0,85.0,87.0,88.0,89.0,8.0,84.0,80.0,25.0,5.0,6.0,20.0,7.0
2021,H4506,100.0,72.0,74.0,98.0,86.0,,,,74.0,0.27,89.0,84.0,74.0,97.0,77.0,85.0,,43.0,83.0,68.0,67.0,14.0,51.0,48.0,,89.0,87.0,85.0,56.0,93.0,75.0,,82.0,2.9,100.0,97.0,0.27,,90.0,99.0,87.0,84.0,85.0,86.0,14.0,87.0,86.0,14.0,18.0,26.0,31.0,12.0
2021,H4513,100.0,75.0,82.0,98.0,85.0,98.0,97.0,99.0,87.0,0.11,90.0,87.0,87.0,99.0,75.0,84.0,,45.0,80.0,68.0,88.0,9.0,51.0,71.0,,99.0,88.0,91.0,60.0,97.0,82.0,70.0,81.0,5.9,94.0,98.0,0.11,,91.0,99.0,82.0,85.0,85.0,86.0,9.0,90.0,89.0,11.0,11.0,20.0,36.0,9.0
2021,H4514,99.0,71.0,68.0,97.0,84.0,81.0,89.0,91.0,71.0,0.21,91.0,82.0,78.0,97.0,78.0,82.0,,39.0,80.0,67.0,45.0,14.0,56.0,43.0,,100.0,86.0,90.0,72.0,99.0,74.0,69.0,76.0,0.0,,97.0,0.21,,88.0,99.0,88.0,80.0,82.0,81.0,14.0,88.0,83.0,7.0,10.0,17.0,34.0,8.0
2021,H4523,100.0,72.0,69.0,97.0,86.0,,,,69.0,0.2,89.0,82.0,74.0,97.0,74.0,81.0,,41.0,83.0,67.0,79.0,20.0,56.0,55.0,,98.0,84.0,86.0,58.0,99.0,76.0,,81.0,0.5,91.0,97.0,0.2,,86.0,99.0,63.0,81.0,83.0,83.0,20.0,83.0,84.0,24.0,12.0,22.0,32.0,12.0
2021,H4527,99.0,78.0,84.0,97.0,83.0,97.0,97.0,98.0,82.0,0.12,90.0,88.0,86.0,98.0,75.0,81.0,,41.0,75.0,67.0,68.0,19.0,58.0,70.0,,100.0,85.0,87.0,59.0,99.0,77.0,56.0,80.0,0.0,100.0,97.0,0.12,,88.0,99.0,82.0,82.0,83.0,85.0,19.0,85.0,87.0,19.0,11.0,14.0,35.0,
2021,H4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4590,99.0,77.0,82.0,97.0,87.0,94.0,96.0,97.0,83.0,0.09,91.0,87.0,83.0,98.0,80.0,84.0,,49.0,78.0,69.0,64.0,8.0,57.0,63.0,,99.0,87.0,88.0,61.0,99.0,78.0,58.0,82.0,0.0,100.0,97.0,0.09,,90.0,99.0,75.0,85.0,84.0,85.0,8.0,86.0,87.0,12.0,12.0,20.0,33.0,7.0
2021,H4604,99.0,77.0,71.0,96.0,86.0,,,,82.0,0.07,90.0,88.0,80.0,97.0,79.0,84.0,,50.0,79.0,69.0,64.0,6.0,59.0,53.0,,97.0,87.0,86.0,48.0,99.0,88.0,,84.0,0.0,,96.0,0.07,,89.0,99.0,82.0,86.0,85.0,85.0,6.0,83.0,81.0,26.0,13.0,18.0,16.0,11.0
2021,H4605,97.0,78.0,71.0,98.0,88.0,,,,78.0,0.02,92.0,87.0,78.0,92.0,82.0,88.0,,47.0,82.0,68.0,53.0,4.0,62.0,40.0,,,88.0,89.0,59.0,,84.0,,86.0,2.6,73.0,100.0,0.02,,91.0,99.0,80.0,86.0,83.0,87.0,4.0,83.0,79.0,39.0,6.0,8.0,16.0,12.0
2021,H4623,,,,100.0,,,,,,0.12,,,,,,,,,,,,14.0,,,,,,,,,,,,3.0,88.0,98.0,0.12,,,99.0,84.0,88.0,88.0,89.0,14.0,,77.0,20.0,13.0,16.0,18.0,
2021,H4624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4676,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,
2021,H4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4709,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,
2021,H4711,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,
2021,H4754,96.0,70.0,70.0,89.0,87.0,,,,74.0,0.02,91.0,80.0,72.0,96.0,80.0,83.0,,47.0,83.0,64.0,58.0,8.0,50.0,,,100.0,86.0,86.0,48.0,88.0,79.0,,80.0,10.4,,92.0,0.02,,92.0,99.0,85.0,87.0,83.0,87.0,8.0,83.0,72.0,23.0,4.0,5.0,12.0,9.0
2021,H4778,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,97.0,,,,99.0,89.0,88.0,,84.0,,,,,,,,
2021,H4829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,H4835,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,
2021,H4847,,,,98.0,,,,,,0.88,,,,,,,,,,,,32.0,,,,,,,,,,,,0.0,,97.0,0.88,,,99.0,87.0,79.0,82.0,80.0,32.0,,77.0,20.0,19.0,28.0,35.0,
2021,H4853,,59.0,,90.0,79.0,,,,,0.31,88.0,68.0,52.0,97.0,74.0,79.0,,36.0,,,25.0,30.0,43.0,,,,84.0,84.0,51.0,,,,,0.0,,92.0,0.31,,87.0,98.0,75.0,74.0,77.0,81.0,30.0,84.0,82.0,19.0,21.0,25.0,48.0,12.0
2021,H4868,98.0,,70.0,98.0,,78.0,84.0,87.0,66.0,0.39,,71.0,72.0,96.0,,,,,85.0,75.0,50.0,24.0,51.0,58.0,,84.0,,,66.0,93.0,72.0,52.0,81.0,2.5,,97.0,0.39,,,99.0,76.0,79.0,82.0,82.0,24.0,,84.0,11.0,15.0,22.0,35.0,
2021,H4875,99.0,74.0,80.0,98.0,86.0,,,,81.0,0.08,92.0,83.0,75.0,96.0,79.0,84.0,,48.0,80.0,70.0,73.0,15.0,54.0,63.0,,96.0,86.0,84.0,49.0,90.0,79.0,,79.0,5.6,95.0,97.0,0.08,,91.0,99.0,75.0,86.0,87.0,87.0,15.0,85.0,80.0,40.0,9.0,11.0,5.0,9.0
2021,H4882,98.0,76.0,84.0,93.0,88.0,,,,83.0,0.04,93.0,91.0,82.0,95.0,83.0,85.0,,46.0,,,81.0,6.0,52.0,,,,87.0,85.0,57.0,,,,,1.9,,95.0,0.04,,91.0,97.0,84.0,89.0,88.0,90.0,6.0,81.0,86.0,26.0,5.0,10.0,31.0,5.0
2021,H4909,98.0,84.0,79.0,100.0,86.0,,,,78.0,0.07,90.0,84.0,78.0,94.0,76.0,84.0,,48.0,83.0,71.0,74.0,0.0,55.0,,,90.0,88.0,86.0,52.0,96.0,91.0,,79.0,1.9,,98.0,0.07,,,99.0,80.0,85.0,86.0,87.0,0.0,,82.0,29.0,17.0,16.0,16.0,
2021,H4922,95.0,68.0,58.0,84.0,85.0,80.0,94.0,89.0,49.0,0.57,88.0,75.0,65.0,96.0,74.0,80.0,,36.0,67.0,60.0,50.0,27.0,50.0,,,100.0,82.0,80.0,65.0,93.0,74.0,89.0,87.0,6.9,,94.0,0.57,,,99.0,93.0,79.0,81.0,82.0,27.0,81.0,81.0,40.0,21.0,26.0,48.0,20.0
2021,H4931,98.0,66.0,67.0,94.0,82.0,82.0,88.0,89.0,62.0,0.08,88.0,78.0,75.0,95.0,75.0,82.0,,43.0,81.0,61.0,61.0,10.0,47.0,,,99.0,86.0,88.0,65.0,87.0,74.0,47.0,71.0,6.5,83.0,95.0,0.08,,88.0,99.0,92.0,77.0,77.0,81.0,10.0,87.0,81.0,13.0,14.0,13.0,18.0,
2021,H4937,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,
2021,H4961,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,
2021,H4982,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,
2021,H5008,99.0,70.0,68.0,98.0,83.0,80.0,91.0,96.0,76.0,0.24,90.0,80.0,76.0,96.0,75.0,78.0,,58.0,81.0,70.0,64.0,13.0,53.0,55.0,,100.0,84.0,87.0,70.0,100.0,77.0,63.0,85.0,0.4,,98.0,0.24,,89.0,99.0,82.0,82.0,83.0,82.0,13.0,83.0,82.0,15.0,16.0,19.0,44.0,
2021,H5009,93.0,82.0,78.0,98.0,87.0,,,,82.0,0.02,92.0,83.0,73.0,96.0,82.0,85.0,,42.0,84.0,71.0,55.0,5.0,54.0,36.0,,100.0,86.0,84.0,48.0,100.0,82.0,,84.0,5.0,75.0,100.0,0.02,,88.0,99.0,82.0,88.0,86.0,88.0,5.0,80.0,82.0,38.0,5.0,12.0,17.0,6.0
2021,H5010,100.0,75.0,77.0,98.0,89.0,,,,78.0,0.09,92.0,85.0,74.0,,82.0,82.0,,,87.0,73.0,41.0,,55.0,,,,88.0,86.0,,,,,,0.0,,100.0,0.09,,90.0,99.0,80.0,86.0,91.0,86.0,,81.0,78.0,,,,,
2021,H5015,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,
2021,H5042,100.0,87.0,88.0,100.0,87.0,,,,83.0,0.02,93.0,91.0,91.0,97.0,82.0,85.0,,54.0,85.0,69.0,72.0,,56.0,,,,89.0,91.0,50.0,,88.0,,84.0,0.0,,97.0,0.02,,92.0,,78.0,89.0,92.0,91.0,,89.0,83.0,,,,,
2021,H5050,99.0,86.0,83.0,98.0,87.0,,,,87.0,0.07,90.0,87.0,88.0,98.0,80.0,81.0,,50.0,84.0,69.0,85.0,5.0,56.0,59.0,,99.0,87.0,87.0,48.0,97.0,88.0,,87.0,0.8,,100.0,0.07,,92.0,98.0,90.0,90.0,87.0,90.0,5.0,86.0,86.0,28.0,9.0,12.0,38.0,5.0
2021,H5087,99.0,76.0,76.0,98.0,,90.0,94.0,95.0,79.0,0.24,,81.0,84.0,99.0,67.0,,,,81.0,82.0,72.0,19.0,53.0,83.0,,100.0,,86.0,67.0,98.0,71.0,42.0,82.0,2.1,,97.0,0.24,,,99.0,73.0,84.0,88.0,87.0,19.0,85.0,88.0,8.0,21.0,25.0,30.0,
2021,H5106,98.0,76.0,71.0,100.0,86.0,,,,78.0,0.0,92.0,83.0,70.0,95.0,79.0,85.0,,45.0,86.0,64.0,78.0,3.0,46.0,32.0,,100.0,86.0,86.0,59.0,100.0,79.0,,76.0,2.9,,100.0,0.0,,90.0,99.0,77.0,87.0,85.0,86.0,3.0,84.0,79.0,,,,,
