year,contract_id,C-Adult BMI Assessment,C-Annual Flu Vaccine,C-Breast Cancer Screening,C-Call Center - Foreign Language Interpreter and TTY Availability,C-Care Coordination,C-Care for Older Adults - Functional Status Assessment,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Pain Assessment,C-Colorectal Cancer Screening,C-Complaints about the Health Plan,C-Customer Service,C-Diabetes Care - Blood Sugar Controlled,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Getting Appointments and Care Quickly,C-Getting Needed Care,C-Health Plan Quality Improvement,C-Improving Bladder Control,C-Improving or Maintaining Mental Health,C-Improving or Maintaining Physical Health,C-Medication Reconciliation Post-Discharge,C-Members Choosing to Leave the Plan,C-Monitoring Physical Activity,C-Osteoporosis Management in Women who had a Fracture,C-Plan All-Cause Readmissions,C-Plan Makes Timely Decisions about Appeals,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Reducing the Risk of Falling,C-Reviewing Appeals Decisions,C-Rheumatoid Arthritis Management,C-Special Needs Plan (SNP) Care Management,C-Statin Therapy for Patients with Cardiovascular Disease,D-Appeals Auto-Forward,D-Appeals Upheld,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Complaints about the Drug Plan,D-Drug Plan Quality Improvement,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-MTM Program Completion Rate for CMR,D-Medication Adherence for Cholesterol (Statins),D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Members Choosing to Leave the Plan,D-Rating of Drug Plan,D-Statin Use in Persons with Diabetes (SUPD),Financial Reasons for Disenrollment,Problems Getting Information and Help from the Plan,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Problems with Prescription Drug Benefits and Coverage
2020,H0351,98.0,65.0,69.0,94.0,83.0,94.0,99.0,97.0,64.0,0.58,83.0,82.0,75.0,96.0,75.0,80.0,,42.0,78.0,66.0,56.0,14.0,42.0,36.0,8.0,97.0,83.0,76.0,55.0,91.0,68.0,31.0,74.0,18.0,88.0,94.0,0.58,,85.0,99.0,90.0,81.0,81.0,83.0,14.0,77.0,79.0,38.0,16.0,27.0,17.0,10.0
2020,H0354,100.0,77.0,82.0,98.0,86.0,99.0,99.0,99.0,82.0,0.12,91.0,83.0,86.0,99.0,80.0,82.0,,44.0,82.0,66.0,89.0,5.0,51.0,77.0,7.0,94.0,88.0,89.0,59.0,90.0,77.0,86.0,73.0,10.9,89.0,94.0,0.12,,91.0,99.0,91.0,83.0,82.0,85.0,5.0,87.0,82.0,15.0,10.0,18.0,39.0,8.0
2020,H0422,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,
2020,H0423,98.0,72.0,83.0,92.0,84.0,92.0,95.0,96.0,80.0,0.13,88.0,82.0,79.0,96.0,70.0,76.0,,,79.0,71.0,75.0,19.0,58.0,,9.0,100.0,81.0,85.0,77.0,82.0,92.0,56.0,85.0,0.0,,97.0,0.13,,91.0,99.0,82.0,79.0,83.0,82.0,19.0,85.0,87.0,13.0,12.0,13.0,20.0,
2020,H0432,100.0,58.0,68.0,98.0,84.0,86.0,94.0,96.0,78.0,0.3,92.0,81.0,73.0,97.0,74.0,83.0,,,,,64.0,12.0,,,7.0,100.0,84.0,87.0,,97.0,68.0,51.0,,0.0,,97.0,0.3,,91.0,99.0,80.0,76.0,78.0,80.0,12.0,86.0,76.0,18.0,17.0,25.0,50.0,
2020,H0439,99.0,66.0,77.0,98.0,87.0,98.0,93.0,98.0,78.0,0.18,89.0,86.0,82.0,99.0,75.0,83.0,,41.0,80.0,70.0,71.0,22.0,52.0,75.0,8.0,97.0,84.0,86.0,49.0,92.0,73.0,,77.0,12.6,96.0,97.0,0.18,,90.0,98.0,72.0,78.0,79.0,81.0,22.0,85.0,79.0,31.0,9.0,19.0,23.0,13.0
2020,H0473,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,
2020,H0480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H0504,99.0,73.0,79.0,97.0,84.0,,,,80.0,0.14,89.0,89.0,81.0,98.0,75.0,78.0,,50.0,84.0,69.0,75.0,8.0,55.0,49.0,8.0,98.0,85.0,87.0,55.0,95.0,74.0,,77.0,2.1,93.0,97.0,0.14,,90.0,99.0,76.0,83.0,82.0,85.0,8.0,85.0,80.0,25.0,9.0,16.0,21.0,11.0
2020,H0523,98.0,74.0,79.0,100.0,81.0,,,,75.0,0.27,89.0,86.0,87.0,98.0,74.0,81.0,,40.0,83.0,69.0,69.0,14.0,52.0,50.0,8.0,97.0,84.0,87.0,61.0,100.0,75.0,,77.0,3.6,,97.0,0.27,,89.0,99.0,82.0,82.0,81.0,84.0,14.0,84.0,81.0,19.0,12.0,22.0,31.0,10.0
2020,H0524,99.0,83.0,89.0,97.0,85.0,94.0,99.0,97.0,90.0,0.08,91.0,91.0,88.0,97.0,80.0,84.0,,42.0,86.0,72.0,96.0,1.0,63.0,88.0,8.0,98.0,88.0,90.0,56.0,97.0,91.0,85.0,88.0,0.4,96.0,98.0,0.08,,93.0,100.0,90.0,87.0,87.0,88.0,1.0,91.0,89.0,34.0,14.0,22.0,16.0,7.0
2020,H0543,99.0,78.0,80.0,98.0,84.0,,,,79.0,0.1,89.0,89.0,83.0,98.0,78.0,80.0,,42.0,84.0,66.0,71.0,6.0,53.0,62.0,7.0,99.0,87.0,87.0,63.0,98.0,77.0,,78.0,0.4,98.0,98.0,0.1,,89.0,99.0,74.0,84.0,83.0,86.0,6.0,87.0,81.0,23.0,17.0,18.0,28.0,
2020,H0544,100.0,78.0,77.0,98.0,82.0,93.0,95.0,97.0,78.0,0.28,90.0,84.0,84.0,97.0,76.0,81.0,,50.0,81.0,70.0,75.0,12.0,58.0,64.0,7.0,99.0,86.0,87.0,66.0,92.0,75.0,78.0,79.0,3.0,91.0,97.0,0.28,,88.0,99.0,83.0,81.0,82.0,84.0,12.0,85.0,83.0,18.0,13.0,22.0,47.0,
